"run","random_seed","ID","dataHabitStrengthMeat"
9,9,6,-1.0
9,9,24,-1.0
9,9,14,-1.0
9,9,0,-1.0
9,9,26,-1.0
9,9,28,-1.0
9,9,15,-1.0
9,9,22,-1.0
9,9,25,-1.0
9,9,1,-1.0
2,2,27,-1.0
2,2,5,-1.0
2,2,29,-1.0
2,2,10,-1.0
2,2,26,-1.0
2,2,15,-1.0
2,2,11,-1.0
2,2,23,-1.0
2,2,12,-1.0
2,2,19,-1.0
2,2,24,-1.0
2,2,25,-1.0
2,2,1,-1.0
2,2,2,-1.0
2,2,18,-1.0
2,2,20,-1.0
2,2,9,-1.0
2,2,17,-1.0
2,2,8,-1.0
2,2,4,-1.0
2,2,28,-1.0
2,2,13,-1.0
2,2,16,-1.0
2,2,3,-1.0
2,2,7,-1.0
2,2,0,-1.0
2,2,22,-1.0
2,2,6,-1.0
2,2,14,-1.0
2,2,21,-1.0
4,4,29,-1.0
4,4,23,-1.0
4,4,17,-1.0
4,4,20,-1.0
4,4,27,-1.0
4,4,2,-1.0
4,4,9,-1.0
4,4,0,-1.0
4,4,1,-1.0
4,4,5,-1.0
4,4,28,-1.0
4,4,24,-1.0
4,4,16,-1.0
4,4,22,-1.0
4,4,8,-1.0
4,4,11,-1.0
4,4,13,-1.0
4,4,14,-1.0
4,4,18,-1.0
4,4,15,-1.0
4,4,25,-1.0
4,4,19,-1.0
4,4,26,-1.0
4,4,12,-1.0
4,4,21,-1.0
4,4,7,-1.0
4,4,4,-1.0
4,4,3,-1.0
4,4,6,-1.0
4,4,10,-1.0
6,6,3,-1.0
6,6,2,-1.0
6,6,25,-1.0
6,6,28,-1.0
6,6,9,-1.0
6,6,26,-1.0
6,6,14,-1.0
6,6,18,-1.0
6,6,4,-1.0
6,6,27,-1.0
6,6,16,-1.0
6,6,10,-1.0
6,6,21,-1.0
6,6,1,-1.0
6,6,5,-1.0
6,6,6,-1.0
6,6,7,-1.0
6,6,0,-1.0
6,6,29,-1.0
6,6,8,-1.0
6,6,15,-1.0
6,6,19,-1.0
6,6,20,-1.0
6,6,11,-1.0
6,6,17,-1.0
6,6,24,-1.0
6,6,23,-1.0
6,6,12,-1.0
6,6,13,-1.0
6,6,22,-1.0
8,8,26,-1.0
8,8,27,-1.0
8,8,22,-1.0
8,8,1,-1.0
8,8,13,-1.0
8,8,3,-1.0
8,8,10,-1.0
8,8,7,-1.0
8,8,25,-1.0
8,8,14,-1.0
8,8,19,-1.0
8,8,16,-1.0
8,8,28,-1.0
8,8,0,-1.0
8,8,21,-1.0
8,8,24,-1.0
8,8,20,-1.0
8,8,4,-1.0
8,8,15,-1.0
8,8,8,-1.0
8,8,23,-1.0
8,8,2,-1.0
8,8,18,-1.0
8,8,29,-1.0
8,8,11,-1.0
8,8,5,-1.0
8,8,6,-1.0
8,8,17,-1.0
8,8,9,-1.0
8,8,12,-1.0
10,10,17,-1.0
10,10,2,-1.0
10,10,5,-1.0
10,10,7,-1.0
10,10,18,-1.0
10,10,9,-1.0
10,10,10,-1.0
10,10,19,-1.0
10,10,29,-1.0
10,10,13,-1.0
10,10,3,-1.0
10,10,8,-1.0
10,10,12,-1.0
10,10,23,-1.0
10,10,4,-1.0
10,10,27,-1.0
10,10,11,-1.0
10,10,21,-1.0
10,10,16,-1.0
10,10,20,-1.0
10,10,6,-1.0
10,10,24,-1.0
10,10,14,-1.0
10,10,0,-1.0
10,10,26,-1.0
10,10,28,-1.0
10,10,15,-1.0
10,10,22,-1.0
10,10,25,-1.0
10,10,1,-1.0
