"run","isIntentional","HABIT_THRESHOLD_ABSOLUTE","eater1Count","OPENNESS_AVG_STRENGTH","isEvaluated","SELFE_AVG_STRENGTH","selfEbeta","CONSERVATION_AVG_STRENGTH","selfTk","SELFT_AVG_STRENGTH","vegetarianVenueCount","mixedVenueCount","diningOutPercent","weightVegEatingAction","filterOnAffordances","selfTbeta","isUpdatedPHistory","selfEk","randomSeed","filterOnHabits","OUTSIDE_CONTEXT","endTime","HABIT_THRESHOLD_RELATIVE","weightMeatEatingAction","meatVenueCount"
8,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,8,"true",0.25,4000.0,0.7,1.0,1
10,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,10,"true",0.25,4000.0,0.7,1.0,1
12,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,12,"true",0.25,4000.0,0.7,1.0,1
14,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,14,"true",0.25,4000.0,0.7,1.0,1
16,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,16,"true",0.25,4000.0,0.7,1.0,1
18,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,18,"true",0.25,4000.0,0.7,1.0,1
20,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,20,"true",0.25,4000.0,0.7,1.0,1
22,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,22,"true",0.25,4000.0,0.7,1.0,1
24,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,24,"true",0.25,4000.0,0.7,1.0,1
26,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,26,"true",0.25,4000.0,0.7,1.0,1
28,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,28,"true",0.25,4000.0,0.7,1.0,1
30,"false",5.0,30,0.5,"false",0.5,0.1,0.5,0.25,0.5,1,2,100,1.0,"true",0.1,"true",0.25,30,"true",0.25,4000.0,0.7,1.0,1
